artist_name,artist_popularity,artist_track_count
ALSO,0.07831489519059595,2
ALYSS,0.12966322353300527,1
ALi,0.06153313193546824,8
AM & Shawn Lee,0.059411299799762445,9
AM444,0.08204417591395766,1
AMARIA BB,0.08204417591395766,1
AMBER,0.06891710776772443,5
AMBKOR,0.035894326962356476,28
AN21,0.07178865392471295,4
ANAVITÓRIA,0.26891710776772443,5
ANBB,0.07490989974752656,3
ANDY SVGE,0.06153313193546824,8
ANGELZ,0.08204417591395766,1
ANGRA,0.21807319235482775,20
ANII,0.08204417591395766,1
ANIMA!,0.10891710776772444,5
ANIMETAL,0.0112609653215236,133
ANNA,0.06648085168201984,36
ANOTR,0.12966322353300527,1
ANSON,0.07831489519059595,2
ANTHEM,0.010570108553331969,143
ANTIHELD,0.06891710776772443,5
AO Cubo,0.12966322353300527,1
AOA,0.19148085168201984,36
AOA CREAM,0.08204417591395766,1
"AOKI,hayato",0.052209930127063965,13
AOR,0.08204417591395766,1
APEXAPE,0.06891710776772443,5
APOLLYON.,0.12966322353300527,1
APRE,0.12966322353300527,1
APRIL,0.13788621089604114,7
APSE,0.08204417591395766,1
AQXDM,0.07490989974752656,3
AREA21,0.2384553205913796,4
AREDREDS,0.06381213682196707,7
ARIA,0.12966322353300527,1
ARMNHMR,0.05556995294271655,29
ART-SCHOOL,0.0492265055483746,15
ARTBAT,0.2384553205913796,4
ARTHUR,0.07165599195245029,18
ARTY,0.07961781128034134,77
ARtroniks,0.08204417591395766,1
AS IT IS,0.08864113557602644,22
ASA MOTO,0.07178865392471295,4
ASADI,0.07831489519059595,2
ASCA,0.12966322353300527,1
ASD,0.10891710776772444,5
ASG,0.06891710776772443,5
ASHES dIVIDE,0.10472798823819657,6
ASIAN KUNG-FU GENERATION,0.08853501738189104,135
ASMR HD,0.055578312715906804,11
ASPARAGUS,0.040068085911467696,23
ASTERISM,0.046565613356570563,17
ASTN,0.2119602849701152,7
ASTR,0.07178865392471295,4
ASTRO,0.3222350489853293,35
ATB,0.013637097780927145,253
ATC,0.12376944064514141,2
ATEEZ,0.46768959443987473,35
ATFC,0.03946272020569726,49
ATLiens,0.10733926577711615,24
ATR,0.03828728209318024,25
ATTLAS,0.09389405842045209,9
ATYYA,0.034458553883862215,30
AUDREY NUNA,0.1551219872580463,4
AUN,0.08204417591395766,1
AURORA,0.29703568054588886,6
AUSTN,0.12966322353300527,1
AVEC,0.12966322353300527,1
AVGUSTO,0.08204417591395766,1
AVIIRA,0.07831489519059595,2
AVOID,0.059411299799762445,9
AWA,0.07831489519059595,2
AWOL One,0.08204417591395766,1
AWOLNATION,0.32087607539169616,29
AWeX,0.07490989974752656,3
AX&P,0.08204417591395766,1
AYA,0.04417763318443874,19
AYA GLOOMY,0.06891710776772443,5
AZ,0.11807319235482776,20
AZARI,0.12966322353300527,1
AZIATIX,0.0662664497766581,6
A^K,0.12966322353300527,1
AaRON,0.1026723411781111,26
Aabha Hanjura,0.08204417591395766,1
Aalacho,0.06153313193546824,8
Aaliyah,0.22871546156988518,40
Aalto,0.06381213682196707,7
Aami,0.08204417591395766,1
Aamir Khan,0.11838816061709177,3
Aandra,0.0478591026164753,16
Aara,0.06891710776772443,5
Aaradhna,0.12966322353300527,1
Aardvarck,0.040068085911467696,23
Aardy,0.07490989974752656,3
Aarif Jaman,0.07178865392471295,4
Aarktica,0.06891710776772443,5
Aaron Carl,0.06381213682196707,7
Aaron Carter,0.1244114716128937,26
Aaron Cole,0.16922398609968686,2
Aaron Copland,0.04254574522176736,44
Aaron Cormier,0.0662664497766581,6
Aaron Diehl,0.07831489519059595,2
Aaron Espe,0.161866421486657,3
Aaron Flemming,0.12376944064514141,2
Aaron Goldberg,0.059411299799762445,9
Aaron Hall,0.08204417591395766,1
Aaron Jay Kernis,0.08204417591395766,1
Aaron Kamm and the One Drops,0.07831489519059595,2
Aaron Kaplan,0.08204417591395766,1
Aaron Karo,0.027348058637985888,43
Aaron Kirby,0.046565613356570563,17
Aaron Kwok,0.013783421553544888,105
Aaron Lee Tasjan,0.06891710776772443,5
Aaron Lewis,0.3019827047450502,42
Aaron Lines,0.08204417591395766,1
Aaron Marshall,0.059411299799762445,9
Aaron May,0.3472474176497539,8
Aaron Neville,0.06418840852057088,38
Aaron Parks,0.0809332107433285,26
Aaron Pritchett,0.08204417591395766,1
Aaron Scotch,0.06891710776772443,5
Aaron Shust,0.1628595756618314,9
Aaron Smith,0.04596207029868038,61
Aaron Static,0.07178865392471295,4
Aaron Taylor,0.2860343590441893,7
Aaron Tesser & The New Jazz Affair,0.08204417591395766,1
Aaron Tippin,0.1523525062642939,11
Aaron Tveit,0.140692382164405,42
Aaron Watson,0.0867744684740799,69
Aaron West and The Roaring Twenties,0.053841490443534715,12
Aaron Wilburn,0.04417763318443874,19
Aarti Mukherji,0.08204417591395766,1
Aaryan Shah,0.19678865392471293,4
Aashish Khan,0.08204417591395766,1
Aashran Mahajan,0.08204417591395766,1
Aastik Koshy,0.08204417591395766,1
Aatoo Cito,0.07490989974752656,3
Aavikko,0.08204417591395766,1
Aazar,0.11345532059137962,4
Ab-Soul,0.24922650554837458,15
Abandon,0.07831489519059595,2
Abandon All Ships,0.04862370882487698,36
Abandoned,0.10891710776772444,5
Abandoned By Bears,0.0506743439468562,14
Abandoned Toys,0.08204417591395766,1
Abanqobi,0.08204417591395766,1
Abassi All Stars,0.028715461569885182,40
Abated Mass Of Flesh,0.08204417591395766,1
Abayomy Afrobeat Orquestra,0.0492265055483746,15
Abba Gargando,0.07831489519059595,2
Abbas Ahmed,0.0506743439468562,14
Abbath,0.043073192354827775,20
Abbey Lincoln,0.07178865392471295,4
Abby Anderson,0.11838816061709177,3
Abd Al Malik,0.08204417591395766,1
Abdallah Oumbadougou,0.08204417591395766,1
Abduction,0.06891710776772443,5
Abdul Majeed Abdullah,0.07563688039425308,16
